# Samples Generated by Stan
#
# stan_version_major=1
# stan_version_minor=0
# stan_version_patch=2
# data=data.R
# init=random initialization
# append_samples=0
# save_warmup=0
# seed=687032947
# chain_id=1
# iter=200
# warmup=100
# thin=1
# equal_step_sizes=0
# leapfrog_steps=-1
# max_treedepth=10
# epsilon=-1
# epsilon_pm=0
# delta=0.5
# gamma=0.05
#
lp__,treedepth__,stepsize__,alpha,beta,sigma
3.97761,1,0.255526,3.04397,1.00637,0.332285
5.91752,2,0.255526,2.95227,0.948601,0.182439
5.91752,1,0.255526,2.95227,0.948601,0.182439
5.91752,2,0.255526,2.95227,0.948601,0.182439
5.91752,1,0.255526,2.95227,0.948601,0.182439
5.91752,1,0.255526,2.95227,0.948601,0.182439
5.91752,1,0.255526,2.95227,0.948601,0.182439
5.91752,1,0.255526,2.95227,0.948601,0.182439
5.91752,1,0.255526,2.95227,0.948601,0.182439
5.91752,1,0.255526,2.95227,0.948601,0.182439
4.25301,1,0.255526,3.05949,0.963771,0.301353
